iter	Recall	Logloss
0	0.06532663317	0.6926367575
1	0.8542713568	0.6923719263
2	0.8542713568	0.6923719256
3	0.8542713568	0.692371925
4	0.6884422111	0.684804316
5	0.6884422111	0.6848043129
6	0.7236180905	0.6769322562
7	0.7185929648	0.669927662
8	0.6884422111	0.6698928626
9	0.7135678392	0.667840921
10	0.7135678392	0.6678408991
11	0.7185929648	0.6650948443
12	0.6984924623	0.6586616995
13	0.6984924623	0.6586616988
14	0.7336683417	0.6507243073
15	0.6884422111	0.6471491898
16	0.7135678392	0.6402596168
17	0.6984924623	0.6346977446
18	0.6984924623	0.6346974545
19	0.7035175879	0.6336696695
20	0.7185929648	0.625264839
21	0.7185929648	0.6242755534
22	0.7286432161	0.6194574433
23	0.7286432161	0.6193812216
24	0.743718593	0.6193798841
25	0.743718593	0.6193786454
26	0.7185929648	0.6147849581
27	0.7185929648	0.6147619766
28	0.7386934673	0.6133793182
29	0.7386934673	0.6133513938
30	0.7386934673	0.6133506356
31	0.7386934673	0.6133499333
32	0.7135678392	0.6097715036
33	0.7236180905	0.605677968
34	0.7236180905	0.605677659
35	0.7236180905	0.6056302207
36	0.7236180905	0.5994657756
37	0.7286432161	0.5989687709
38	0.7286432161	0.5989683588
39	0.7085427136	0.5950752632
40	0.7236180905	0.5942710157
41	0.7487437186	0.5911359734
42	0.7487437186	0.5911354359
43	0.7487437186	0.5911238279
44	0.7587939698	0.5902766072
45	0.7587939698	0.5902153496
46	0.743718593	0.5881558471
47	0.7386934673	0.5853754583
48	0.7386934673	0.5853752948
49	0.7336683417	0.583037821
50	0.7336683417	0.5829307687
51	0.7386934673	0.5817130186
52	0.7386934673	0.5817128631
53	0.7386934673	0.5816606565
54	0.7336683417	0.5795287817
55	0.7336683417	0.5790119768
56	0.7386934673	0.5788445621
57	0.7386934673	0.5787647572
58	0.7386934673	0.578764732
59	0.7386934673	0.578732236
60	0.7336683417	0.5780680518
61	0.7336683417	0.5780650235
62	0.7286432161	0.5767920528
63	0.7286432161	0.5767920386
64	0.7286432161	0.5767920216
65	0.7286432161	0.5753749663
66	0.7386934673	0.5746929046
67	0.7386934673	0.5746899606
68	0.7386934673	0.574684784
69	0.7386934673	0.5746847838
70	0.7386934673	0.5746847836
71	0.7386934673	0.574656482
72	0.7286432161	0.5742460374
73	0.7286432161	0.5741839227
74	0.7236180905	0.5727067656
75	0.7236180905	0.5720867893
76	0.7336683417	0.5715343221
77	0.7336683417	0.5714308051
78	0.7336683417	0.5714307951
79	0.7336683417	0.5711256012
80	0.7336683417	0.5711255955
81	0.7386934673	0.5708416156
82	0.7386934673	0.5707171181
83	0.7386934673	0.5707171071
84	0.7286432161	0.5682292637
