iter	Passed	Remaining
0	3	1059
1	5	907
2	7	877
3	10	930
4	12	826
5	14	814
6	16	785
7	17	747
8	19	715
9	20	690
10	22	696
11	24	677
12	25	663
13	27	651
14	29	654
15	31	648
16	32	632
17	34	617
18	36	622
19	38	625
20	40	621
21	41	615
22	43	612
23	46	616
24	47	610
25	48	597
26	49	588
27	51	586
28	53	586
29	55	581
30	57	583
31	59	581
32	60	573
33	61	566
34	63	566
35	65	565
36	67	558
37	69	559
38	70	554
39	72	551
40	74	549
41	76	552
42	79	556
43	81	555
44	83	554
45	84	551
46	85	544
47	86	537
48	88	533
49	89	527
50	91	525
51	92	522
52	94	523
53	96	520
54	97	516
55	99	512
56	101	511
57	102	508
58	104	507
59	105	502
60	108	503
61	109	499
62	110	496
63	113	498
64	114	493
65	116	491
66	117	487
67	119	486
68	120	481
69	122	480
70	124	479
71	125	475
72	126	473
73	128	471
74	130	468
75	131	464
76	132	461
77	133	458
78	136	457
79	138	458
80	140	456
81	142	455
82	143	451
83	144	449
84	146	447
85	147	444
86	149	442
87	150	440
88	152	439
89	154	437
90	155	434
91	156	431
92	159	433
93	161	431
94	163	430
95	164	427
96	166	424
97	167	421
98	169	420
99	170	416
100	172	416
101	174	414
102	176	414
103	178	413
104	180	412
105	181	409
106	183	408
107	184	405
108	186	403
109	188	401
110	189	399
111	191	398
112	193	396
113	196	397
114	199	398
115	201	398
116	202	395
117	204	393
118	205	391
119	207	388
120	208	386
121	210	384
122	211	381
123	213	381
124	215	379
125	218	378
126	219	376
127	220	373
128	222	372
129	223	369
130	224	367
131	226	365
132	229	365
133	230	363
134	232	361
135	233	359
136	234	356
137	236	354
138	238	352
139	239	350
140	241	348
141	242	346
142	243	344
143	245	342
144	246	339
145	247	337
146	249	336
147	251	335
148	253	333
149	256	333
150	257	330
151	258	328
152	259	325
153	261	324
154	262	321
155	264	320
156	265	318
157	267	316
158	268	314
159	269	311
160	271	309
161	273	308
162	275	307
163	277	306
164	278	303
165	279	301
166	281	299
167	282	297
168	284	296
169	286	295
170	288	293
171	290	292
172	291	289
173	292	287
174	293	285
175	295	283
176	296	281
177	297	279
178	299	277
179	300	275
180	302	273
181	303	271
182	304	269
183	307	268
184	309	267
185	310	265
186	312	264
187	314	262
188	316	261
189	317	259
190	319	257
191	320	255
192	321	253
193	324	252
194	325	250
195	327	249
196	328	247
197	330	245
198	332	243
199	334	242
200	336	241
201	338	239
202	339	237
203	341	236
204	343	234
205	344	232
206	346	230
207	348	229
208	349	227
209	351	225
210	353	224
211	354	222
212	356	220
213	358	219
214	359	217
215	361	215
216	362	213
217	364	212
218	366	210
219	368	209
220	370	207
221	372	206
222	373	204
223	375	202
224	376	200
225	378	199
226	380	197
227	381	195
228	383	194
229	384	192
230	386	190
231	388	189
232	391	188
233	393	186
234	394	184
235	397	183
236	399	181
237	400	179
238	401	177
239	403	176
240	404	174
241	406	173
242	408	171
243	409	169
244	410	167
245	411	165
246	413	163
247	415	162
248	417	160
249	419	159
250	420	157
251	422	155
252	424	154
253	426	152
254	427	150
255	429	149
256	431	147
257	433	146
258	434	144
259	436	142
260	438	141
261	439	139
262	441	137
263	442	135
264	444	134
265	446	132
266	447	130
267	450	129
268	451	127
269	453	125
270	455	124
271	456	122
272	457	120
273	459	119
274	460	117
275	462	115
276	463	113
277	465	112
278	466	110
279	468	108
280	469	106
281	471	105
282	472	103
283	473	101
284	474	99
285	476	98
286	477	96
287	479	94
288	480	93
289	481	91
290	483	89
291	484	87
292	485	86
293	487	84
294	488	82
295	490	81
296	492	79
297	494	78
298	496	76
299	497	74
300	499	72
301	500	71
302	501	69
303	503	67
304	505	66
305	507	64
306	509	63
307	510	61
308	512	59
309	513	57
310	515	56
311	516	54
312	517	52
313	518	51
314	520	49
315	521	47
316	522	46
317	524	44
318	526	42
319	528	41
320	529	39
321	531	37
322	532	36
323	534	34
324	535	32
325	537	31
326	538	29
327	540	28
328	543	26
329	544	24
330	545	23
331	548	21
332	550	19
333	551	18
334	553	16
335	555	14
336	556	13
337	558	11
338	559	9
339	561	8
340	562	6
341	564	4
342	566	3
343	567	1
344	569	0
